Batch_ID,Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Updated_Balance,Investment_Amount,Investment_Type,Is_Anomaly,Transaction_Date,Year,Month,Day,Processed_At
BATCH_20251109_161848,300000,209689,Business,69339,4794.0,64545.0,42580,Fixed Deposit,0,2024-12-08,2024,12,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300001,206124,Business,12825,3500.0,9325.0,46605,Fixed Deposit,0,2022-09-09,2022,9,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300002,207501,Current,67753,2401.0,65352.0,17027,Fixed Deposit,0,2022-04-28,2022,4,28,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300003,208675,Savings,67061,2952.0,64109.0,3054,Fixed Deposit,0,2023-05-22,2023,5,22,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300004,204923,Business,8566,1025.0,7541.0,44937,Fixed Deposit,0,2023-04-05,2023,4,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300005,208422,Business,99584,3685.0,95899.0,31763,Fixed Deposit,0,2023-03-02,2023,3,2,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300006,200086,Savings,88497,2343.0,86154.0,26793,Recurring Deposit,0,2022-10-23,2022,10,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300007,204484,Savings,20803,1985.0,18818.0,3709,Fixed Deposit,0,2022-08-27,2022,8,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300008,201643,Business,60911,5224.002812996517,55686.997187003486,45985,Recurring Deposit,0,2025-02-04,2025,2,4,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300009,208910,Business,35489,3714.0,31775.0,38111,Fixed Deposit,0,2024-07-15,2024,7,15,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300010,204832,Savings,40289,3689.0,36600.0,4968,Recurring Deposit,0,2022-08-03,2022,8,3,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300011,202229,Savings,19167,3885.0,15282.0,2633,Mutual Fund,0,2024-09-23,2024,9,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300012,202469,Current,96671,997.0,95674.0,9228,Recurring Deposit,0,2024-01-05,2024,1,5,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300013,206596,Business,91612,3675.0,87937.0,31008,Mutual Fund,0,2022-05-09,2022,5,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300014,202248,Savings,79733,1516.0,78217.0,24178,Mutual Fund,0,2022-05-06,2022,5,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300015,200582,Savings,17467,4788.0,12679.0,22052,Recurring Deposit,0,2022-08-13,2022,8,13,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300016,204119,Current,55313,1971.0,53342.0,43970,Mutual Fund,0,2023-02-23,2023,2,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300017,200872,Current,12532,2483.0,10049.0,22133,Mutual Fund,0,2023-03-17,2023,3,17,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300018,202383,Savings,49658,3742.0,45916.0,7727,Mutual Fund,0,2024-05-14,2024,5,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300019,208164,Business,9225,4927.0,4298.0,10808,Fixed Deposit,1,2024-10-11,2024,10,11,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300020,203721,Business,45900,6627.420212670303,39272.5797873297,44084,Fixed Deposit,0,2022-05-01,2022,5,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300021,209684,Business,70335,361.0,69974.0,47823,Recurring Deposit,0,2024-08-08,2024,8,8,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300022,207316,Current,20828,1570.0,19258.0,18262,Recurring Deposit,0,2023-01-23,2023,1,23,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300023,206897,Savings,54204,1310.0,52894.0,4334,Fixed Deposit,0,2024-12-24,2024,12,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300024,201094,Savings,65447,4938.0,60509.0,2448,Recurring Deposit,0,2025-03-14,2025,3,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300025,204007,Current,48288,3773.0,44515.0,33365,Recurring Deposit,0,2024-07-14,2024,7,14,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300026,204487,Business,21439,1041.0,20398.0,29394,Fixed Deposit,0,2024-01-01,2024,1,1,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300027,202295,Savings,49736,2393.0,47343.0,34507,Fixed Deposit,0,2023-02-26,2023,2,26,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300028,209320,Business,71788,4852.0,66936.0,15429,Fixed Deposit,0,2024-02-16,2024,2,16,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300029,205171,Savings,4032,4578.0,-546.0,30881,Fixed Deposit,1,2024-09-21,2024,9,21,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300030,202305,Current,38930,4105.0,34825.0,8971,Mutual Fund,0,2023-05-27,2023,5,27,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300031,205604,Current,70735,1857.0,68878.0,28139,Fixed Deposit,0,2022-03-31,2022,3,31,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300032,208597,Business,14328,2724.0,11604.0,46384,Fixed Deposit,0,2022-11-24,2022,11,24,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300033,201654,Current,81984,3532.0,78452.0,1352,Fixed Deposit,0,2025-03-09,2025,3,9,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300034,204981,Savings,98769,1413.4289702751234,97355.57102972487,23073,Fixed Deposit,0,2024-01-06,2024,1,6,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300035,209779,Current,53909,3388.0,50521.0,38051,Fixed Deposit,0,2023-08-31,2023,8,31,2025-11-09 16:18:48.216485
BATCH_20251109_161848,300036,206510,Business,56456,4819.0,51637.0,30383,Mutual Fund,0,2023-05-26,2023,5,26,2025-11-09 16:18:48.216485
